"";"ano";"orgao_superior";"servidores_superior";"servidores_naosup"
"1";"1999";"Conselho Nac.De Desen.Cien.E Tecnologico";589;1202
"2";"1999";"Instituto Fed. Do Norte De Minas Gerais";33;193
"3";"1999";"Instituto Fed.Do Sudeste De Minas Gerais";84;216
"4";"1999";"Instituto Federal Baiano";74;228
"5";"1999";"Instituto Federal Catarinense";91;215
"6";"1999";"Instituto Federal Da Paraiba";282;419
"7";"1999";"Instituto Federal De Alagoas";246;473
"8";"1999";"Instituto Federal De Mato Grosso";157;431
"9";"1999";"Instituto Federal De Minas Gerais";118;430
"10";"1999";"Instituto Federal De Pernambuco";470;813
"11";"1999";"Instituto Federal De Rondonia";14;87
"12";"1999";"Instituto Federal De Sergipe";172;330
"13";"1999";"Instituto Federal Do Amazonas";223;403
"14";"1999";"Instituto Federal Do Ceara";282;516
"15";"1999";"Instituto Federal Do Espirito Santo";296;643
"16";"1999";"Instituto Federal Do Maranhao";219;464
"17";"1999";"Instituto Federal Do Para";267;444
"18";"1999";"Instituto Federal Do Rio Grande Do Sul";66;168
"19";"1999";"Instituto Federal Do Sul De Minas Gerais";86;264
"20";"1999";"Instituto Federal Do Tocantins";4;96
"21";"1999";"Instituto Federal Do Triangulo Mineiro";64;205
"22";"1999";"Instituto Federal Farroupilha";44;151
"23";"1999";"Instituto Federal Fluminense";192;481
"24";"1999";"Instituto Federal Goiano";93;268
"25";"1999";"Minist. Da Justica E Seguranca Publica";7536;15912
"26";"1999";"Minist.Da Adm.Federal E Ref. Do Estado";13;12
"27";"1999";"Minist.Da Agricultura,Pecuaria E Abast.";5830;11109
"28";"1999";"Ministerio Ciencia Tec.Inov.Comunicacoes";1602;2285
"29";"1999";"Ministerio Da Cidadania";24;17
"30";"1999";"Ministerio Da Cultura";158;219
"31";"1999";"Ministerio Da Defesa";5862;26353
"32";"1999";"Ministerio Da Economia";42083;61745
"33";"1999";"Ministerio Da Educacao";75279;79696
"34";"1999";"Ministerio Da Infraestrutura";1586;3115
"35";"1999";"Ministerio Da Previdencia Social";534;809
"36";"1999";"Ministerio Da Saude";39640;72534
"37";"1999";"Ministerio Das Comunicacoes";355;739
"38";"1999";"Ministerio Das Relacoes Exteriores";1991;1203
"39";"1999";"Ministerio De Minas E Energia";1092;1004
"40";"1999";"Ministerio Do Desenvolvimento Regional";1022;2028
"41";"1999";"Ministerio Do Esporte";88;116
"42";"1999";"Ministerio Do Meio Ambiente";2155;3762
"43";"1999";"Ministerio Do Planej. Desenv. E Gestao";1970;1913
"44";"1999";"Ministerio Do Trabalho E Emprego";4452;3242
"45";"1999";"Ministerio Do Turismo";1202;1323
"46";"1999";"Ministerio Ind. Com. Exterior E Serviços";399;361
"47";"1999";"Presidencia Da Republica";2695;4388
"48";"2000";"Conselho Nac.De Desen.Cien.E Tecnologico";142;548
"49";"2000";"Instituto Fed. Do Norte De Minas Gerais";36;191
"50";"2000";"Instituto Fed.Do Sudeste De Minas Gerais";81;216
"51";"2000";"Instituto Federal Baiano";71;230
"52";"2000";"Instituto Federal Catarinense";92;204
"53";"2000";"Instituto Federal Da Paraiba";297;420
"54";"2000";"Instituto Federal De Alagoas";262;480
"55";"2000";"Instituto Federal De Mato Grosso";157;426
"56";"2000";"Instituto Federal De Minas Gerais";128;424
"57";"2000";"Instituto Federal De Pernambuco";457;806
"58";"2000";"Instituto Federal De Rondonia";11;91
"59";"2000";"Instituto Federal De Sergipe";164;326
"60";"2000";"Instituto Federal Do Amazonas";228;403
"61";"2000";"Instituto Federal Do Ceara";295;522
"62";"2000";"Instituto Federal Do Espirito Santo";299;646
"63";"2000";"Instituto Federal Do Maranhao";233;446
"64";"2000";"Instituto Federal Do Para";268;444
"65";"2000";"Instituto Federal Do Rio Grande Do Sul";65;162
"66";"2000";"Instituto Federal Do Sul De Minas Gerais";112;290
"67";"2000";"Instituto Federal Do Tocantins";8;93
"68";"2000";"Instituto Federal Do Triangulo Mineiro";69;199
"69";"2000";"Instituto Federal Farroupilha";51;146
"70";"2000";"Instituto Federal Fluminense";202;468
"71";"2000";"Instituto Federal Goiano";91;259
"72";"2000";"Minist. Da Justica E Seguranca Publica";7184;14399
"73";"2000";"Minist.Da Adm.Federal E Ref. Do Estado";1;1
"74";"2000";"Minist.Da Agricultura,Pecuaria E Abast.";5724;10974
"75";"2000";"Ministerio Ciencia Tec.Inov.Comunicacoes";1554;2165
"76";"2000";"Ministerio Da Cidadania";21;20
"77";"2000";"Ministerio Da Cultura";145;214
"78";"2000";"Ministerio Da Defesa";5665;25526
"79";"2000";"Ministerio Da Economia";41848;59745
"80";"2000";"Ministerio Da Educacao";77187;77835
"81";"2000";"Ministerio Da Infraestrutura";1745;3269
"82";"2000";"Ministerio Da Previdencia Social";434;673
"83";"2000";"Ministerio Da Saude";38767;71394
"84";"2000";"Ministerio Das Comunicacoes";256;469
"85";"2000";"Ministerio Das Relacoes Exteriores";1968;1162
"86";"2000";"Ministerio De Minas E Energia";1120;1030
"87";"2000";"Ministerio Do Desenvolvimento Agrario";70;56
"88";"2000";"Ministerio Do Desenvolvimento Regional";998;2006
"89";"2000";"Ministerio Do Esporte";65;68
"90";"2000";"Ministerio Do Meio Ambiente";2231;3608
"91";"2000";"Ministerio Do Planej. Desenv. E Gestao";2592;2820
"92";"2000";"Ministerio Do Trabalho E Emprego";4378;3260
"93";"2000";"Ministerio Do Turismo";1171;1322
"94";"2000";"Ministerio Ind. Com. Exterior E Serviços";352;331
"95";"2000";"Presidencia Da Republica";3752;5895
"96";"2001";"Conselho Nac.De Desen.Cien.E Tecnologico";559;118
"97";"2001";"Instituto Fed. Do Norte De Minas Gerais";91;141
"98";"2001";"Instituto Fed.Do Sudeste De Minas Gerais";161;145
"99";"2001";"Instituto Federal Baiano";140;152
"100";"2001";"Instituto Federal Catarinense";185;119
"101";"2001";"Instituto Federal Da Paraiba";548;180
"102";"2001";"Instituto Federal De Alagoas";508;210
"103";"2001";"Instituto Federal De Mato Grosso";407;166
"104";"2001";"Instituto Federal De Minas Gerais";271;279
"105";"2001";"Instituto Federal De Pernambuco";838;447
"106";"2001";"Instituto Federal De Rondonia";47;53
"107";"2001";"Instituto Federal De Sergipe";324;174
"108";"2001";"Instituto Federal Do Amazonas";428;203
"109";"2001";"Instituto Federal Do Ceara";551;262
"110";"2001";"Instituto Federal Do Espirito Santo";666;302
"111";"2001";"Instituto Federal Do Maranhao";424;251
"112";"2001";"Instituto Federal Do Para";487;238
"113";"2001";"Instituto Federal Do Rio Grande Do Sul";114;109
"114";"2001";"Instituto Federal Do Sul De Minas Gerais";238;156
"115";"2001";"Instituto Federal Do Tocantins";35;65
"116";"2001";"Instituto Federal Do Triangulo Mineiro";156;112
"117";"2001";"Instituto Federal Farroupilha";95;94
"118";"2001";"Instituto Federal Fluminense";489;191
"119";"2001";"Instituto Federal Goiano";177;165
"120";"2001";"Minist. Da Justica E Seguranca Publica";7422;13695
"121";"2001";"Minist.Da Adm.Federal E Ref. Do Estado";1;NA
"122";"2001";"Minist.Da Agricultura,Pecuaria E Abast.";6263;10880
"123";"2001";"Ministerio Ciencia Tec.Inov.Comunicacoes";3250;615
"124";"2001";"Ministerio Da Cidadania";20;14
"125";"2001";"Ministerio Da Cultura";150;208
"126";"2001";"Ministerio Da Defesa";8802;21184
"127";"2001";"Ministerio Da Economia";52525;48433
"128";"2001";"Ministerio Da Educacao";92980;60010
"129";"2001";"Ministerio Da Infraestrutura";1933;3036
"130";"2001";"Ministerio Da Previdencia Social";481;626
"131";"2001";"Ministerio Da Saude";42658;65630
"132";"2001";"Ministerio Das Comunicacoes";259;410
"133";"2001";"Ministerio Das Relacoes Exteriores";2044;1034
"134";"2001";"Ministerio De Minas E Energia";1136;1000
"135";"2001";"Ministerio Do Desenvolvimento Agrario";95;65
"136";"2001";"Ministerio Do Desenvolvimento Regional";946;1712
"137";"2001";"Ministerio Do Esporte";93;136
"138";"2001";"Ministerio Do Meio Ambiente";2491;3967
"139";"2001";"Ministerio Do Planej. Desenv. E Gestao";2717;2636
"140";"2001";"Ministerio Do Trabalho E Emprego";4548;3002
"141";"2001";"Ministerio Do Turismo";1275;1207
"142";"2001";"Ministerio Ind. Com. Exterior E Serviços";430;314
"143";"2001";"Presidencia Da Republica";5960;4188
"144";"2002";"Conselho Nac.De Desen.Cien.E Tecnologico";599;127
"145";"2002";"Instituto Fed. Do Norte De Minas Gerais";92;131
"146";"2002";"Instituto Fed.Do Sudeste De Minas Gerais";175;123
"147";"2002";"Instituto Federal Baiano";152;141
"148";"2002";"Instituto Federal Catarinense";202;105
"149";"2002";"Instituto Federal Da Paraiba";560;165
"150";"2002";"Instituto Federal De Alagoas";518;190
"151";"2002";"Instituto Federal De Mato Grosso";432;147
"152";"2002";"Instituto Federal De Minas Gerais";287;260
"153";"2002";"Instituto Federal De Pernambuco";811;313
"154";"2002";"Instituto Federal De Rondonia";48;47
"155";"2002";"Instituto Federal De Sergipe";338;158
"156";"2002";"Instituto Federal Do Amazonas";470;149
"157";"2002";"Instituto Federal Do Ceara";586;225
"158";"2002";"Instituto Federal Do Espirito Santo";717;277
"159";"2002";"Instituto Federal Do Maranhao";480;233
"160";"2002";"Instituto Federal Do Para";440;203
"161";"2002";"Instituto Federal Do Rio Grande Do Sul";114;99
"162";"2002";"Instituto Federal Do Sul De Minas Gerais";237;143
"163";"2002";"Instituto Federal Do Tocantins";35;67
"164";"2002";"Instituto Federal Do Triangulo Mineiro";162;105
"165";"2002";"Instituto Federal Farroupilha";94;90
"166";"2002";"Instituto Federal Fluminense";494;173
"167";"2002";"Instituto Federal Goiano";181;158
"168";"2002";"Minist. Da Justica E Seguranca Publica";9493;11654
"169";"2002";"Minist.Da Adm.Federal E Ref. Do Estado";NA;1
"170";"2002";"Minist.Da Agricultura,Pecuaria E Abast.";6827;10387
"171";"2002";"Ministerio Ciencia Tec.Inov.Comunicacoes";3430;639
"172";"2002";"Ministerio Da Cidadania";24;10
"173";"2002";"Ministerio Da Cultura";151;187
"174";"2002";"Ministerio Da Defesa";9376;20373
"175";"2002";"Ministerio Da Economia";50993;50128
"176";"2002";"Ministerio Da Educacao";96591;58236
"177";"2002";"Ministerio Da Infraestrutura";2286;2790
"178";"2002";"Ministerio Da Previdencia Social";503;565
"179";"2002";"Ministerio Da Saude";43228;62687
"180";"2002";"Ministerio Das Comunicacoes";246;325
"181";"2002";"Ministerio Das Relacoes Exteriores";2082;1049
"182";"2002";"Ministerio De Minas E Energia";1342;929
"183";"2002";"Ministerio Do Desenvolvimento Agrario";91;67
"184";"2002";"Ministerio Do Desenvolvimento Regional";1042;1677
"185";"2002";"Ministerio Do Esporte";89;133
"186";"2002";"Ministerio Do Meio Ambiente";3128;4024
"187";"2002";"Ministerio Do Planej. Desenv. E Gestao";2754;2343
"188";"2002";"Ministerio Do Trabalho E Emprego";4670;2837
"189";"2002";"Ministerio Do Turismo";1280;1153
"190";"2002";"Ministerio Ind. Com. Exterior E Serviços";420;262
"191";"2002";"Presidencia Da Republica";5610;3107
"192";"2003";"Conselho Nac.De Desen.Cien.E Tecnologico";497;231
"193";"2003";"Instituto Fed. Do Norte De Minas Gerais";93;126
"194";"2003";"Instituto Fed.Do Sudeste De Minas Gerais";178;117
"195";"2003";"Instituto Federal Baiano";155;140
"196";"2003";"Instituto Federal Catarinense";206;103
"197";"2003";"Instituto Federal Da Paraiba";541;164
"198";"2003";"Instituto Federal De Alagoas";496;180
"199";"2003";"Instituto Federal De Mato Grosso";431;139
"200";"2003";"Instituto Federal De Minas Gerais";280;260
"201";"2003";"Instituto Federal De Pernambuco";775;295
"202";"2003";"Instituto Federal De Rondonia";50;39
"203";"2003";"Instituto Federal De Sergipe";319;154
"204";"2003";"Instituto Federal Do Amazonas";456;143
"205";"2003";"Instituto Federal Do Ceara";594;219
"206";"2003";"Instituto Federal Do Espirito Santo";734;264
"207";"2003";"Instituto Federal Do Maranhao";489;216
"208";"2003";"Instituto Federal Do Para";427;193
"209";"2003";"Instituto Federal Do Rio Grande Do Sul";116;97
"210";"2003";"Instituto Federal Do Sul De Minas Gerais";214;125
"211";"2003";"Instituto Federal Do Tocantins";100;77
"212";"2003";"Instituto Federal Do Triangulo Mineiro";154;100
"213";"2003";"Instituto Federal Farroupilha";91;85
"214";"2003";"Instituto Federal Fluminense";491;171
"215";"2003";"Instituto Federal Goiano";184;146
"216";"2003";"Minist. Da Justica E Seguranca Publica";10305;11383
"217";"2003";"Minist.Da Agricultura,Pecuaria E Abast.";6411;9959
"218";"2003";"Ministerio Ciencia Tec.Inov.Comunicacoes";3164;816
"219";"2003";"Ministerio Da Cidadania";159;117
"220";"2003";"Ministerio Da Cultura";158;219
"221";"2003";"Ministerio Da Defesa";9223;19677
"222";"2003";"Ministerio Da Economia";50083;49509
"223";"2003";"Ministerio Da Educacao";96766;58075
"224";"2003";"Ministerio Da Infraestrutura";1974;2050
"225";"2003";"Ministerio Da Previdencia Social";493;551
"226";"2003";"Ministerio Da Saude";41529;65395
"227";"2003";"Ministerio Das Cidades";142;65
"228";"2003";"Ministerio Das Comunicacoes";223;305
"229";"2003";"Ministerio Das Relacoes Exteriores";2038;1010
"230";"2003";"Ministerio De Minas E Energia";1258;928
"231";"2003";"Ministerio Do Desenvolvimento Agrario";73;88
"232";"2003";"Ministerio Do Desenvolvimento Regional";1000;1639
"233";"2003";"Ministerio Do Esporte";91;128
"234";"2003";"Ministerio Do Meio Ambiente";3202;4112
"235";"2003";"Ministerio Do Planej. Desenv. E Gestao";2761;2883
"236";"2003";"Ministerio Do Trabalho E Emprego";4317;2753
"237";"2003";"Ministerio Do Turismo";1280;1127
"238";"2003";"Ministerio Ind. Com. Exterior E Serviços";451;253
"239";"2003";"Presidencia Da Republica";7105;4319
"240";"2004";"Conselho Nac.De Desen.Cien.E Tecnologico";567;222
"241";"2004";"Instituto Fed. Do Norte De Minas Gerais";113;128
"242";"2004";"Instituto Fed.Do Sudeste De Minas Gerais";200;120
"243";"2004";"Instituto Federal Baiano";171;145
"244";"2004";"Instituto Federal Catarinense";200;104
"245";"2004";"Instituto Federal Da Paraiba";552;168
"246";"2004";"Instituto Federal De Alagoas";503;184
"247";"2004";"Instituto Federal De Mato Grosso";453;137
"248";"2004";"Instituto Federal De Minas Gerais";312;250
"249";"2004";"Instituto Federal De Pernambuco";786;300
"250";"2004";"Instituto Federal De Rondonia";50;40
"251";"2004";"Instituto Federal De Sergipe";321;152
"252";"2004";"Instituto Federal Do Amazonas";466;145
"253";"2004";"Instituto Federal Do Ceara";664;219
"254";"2004";"Instituto Federal Do Espirito Santo";776;289
"255";"2004";"Instituto Federal Do Maranhao";479;223
"256";"2004";"Instituto Federal Do Para";445;195
"257";"2004";"Instituto Federal Do Rio Grande Do Sul";130;100
"258";"2004";"Instituto Federal Do Sul De Minas Gerais";238;133
"259";"2004";"Instituto Federal Do Tocantins";105;73
"260";"2004";"Instituto Federal Do Triangulo Mineiro";165;101
"261";"2004";"Instituto Federal Farroupilha";101;89
"262";"2004";"Instituto Federal Fluminense";505;176
"263";"2004";"Instituto Federal Goiano";221;163
"264";"2004";"Minist. Da Justica E Seguranca Publica";11620;12267
"265";"2004";"Minist.Da Agricultura,Pecuaria E Abast.";7038;9956
"266";"2004";"Ministerio Ciencia Tec.Inov.Comunicacoes";3091;797
"267";"2004";"Ministerio Da Cidadania";255;170
"268";"2004";"Ministerio Da Cultura";252;254
"269";"2004";"Ministerio Da Defesa";9827;19288
"270";"2004";"Ministerio Da Economia";51243;48440
"271";"2004";"Ministerio Da Educacao";101518;60025
"272";"2004";"Ministerio Da Infraestrutura";2006;2500
"273";"2004";"Ministerio Da Previdencia Social";953;733
"274";"2004";"Ministerio Da Saude";40852;63902
"275";"2004";"Ministerio Das Cidades";186;94
"276";"2004";"Ministerio Das Comunicacoes";227;299
"277";"2004";"Ministerio Das Relacoes Exteriores";2114;982
"278";"2004";"Ministerio De Minas E Energia";1255;930
"279";"2004";"Ministerio Do Desenvolvimento Agrario";126;122
"280";"2004";"Ministerio Do Desenvolvimento Regional";1288;1716
"281";"2004";"Ministerio Do Esporte";99;133
"282";"2004";"Ministerio Do Meio Ambiente";3823;4099
"283";"2004";"Ministerio Do Planej. Desenv. E Gestao";2624;2176
"284";"2004";"Ministerio Do Trabalho E Emprego";4435;2671
"285";"2004";"Ministerio Do Turismo";1385;1129
"286";"2004";"Ministerio Ind. Com. Exterior E Serviços";439;249
"287";"2004";"Presidencia Da Republica";10792;4445
"288";"2005";"Conselho Nac.De Desen.Cien.E Tecnologico";575;209
"289";"2005";"Instituto Fed. Do Norte De Minas Gerais";130;125
"290";"2005";"Instituto Fed.Do Sudeste De Minas Gerais";211;121
"291";"2005";"Instituto Federal Baiano";173;141
"292";"2005";"Instituto Federal Catarinense";203;102
"293";"2005";"Instituto Federal Da Paraiba";564;166
"294";"2005";"Instituto Federal De Alagoas";539;172
"295";"2005";"Instituto Federal De Mato Grosso";453;141
"296";"2005";"Instituto Federal De Minas Gerais";329;244
"297";"2005";"Instituto Federal De Pernambuco";791;291
"298";"2005";"Instituto Federal De Rondonia";51;39
"299";"2005";"Instituto Federal De Sergipe";337;152
"300";"2005";"Instituto Federal Do Amazonas";474;139
"301";"2005";"Instituto Federal Do Ceara";688;219
"302";"2005";"Instituto Federal Do Espirito Santo";823;290
"303";"2005";"Instituto Federal Do Maranhao";509;216
"304";"2005";"Instituto Federal Do Para";462;193
"305";"2005";"Instituto Federal Do Rio Grande Do Sul";126;96
"306";"2005";"Instituto Federal Do Sul De Minas Gerais";247;128
"307";"2005";"Instituto Federal Do Tocantins";182;96
"308";"2005";"Instituto Federal Do Triangulo Mineiro";174;100
"309";"2005";"Instituto Federal Farroupilha";110;88
"310";"2005";"Instituto Federal Fluminense";518;168
"311";"2005";"Instituto Federal Goiano";240;157
"312";"2005";"Minist. Da Justica E Seguranca Publica";13108;12740
"313";"2005";"Minist.Da Agricultura,Pecuaria E Abast.";7370;10079
"314";"2005";"Ministerio Ciencia Tec.Inov.Comunicacoes";3305;1025
"315";"2005";"Ministerio Da Cidadania";261;158
"316";"2005";"Ministerio Da Cultura";258;254
"317";"2005";"Ministerio Da Defesa";10076;19174
"318";"2005";"Ministerio Da Economia";53031;47668
"319";"2005";"Ministerio Da Educacao";103018;59635
"320";"2005";"Ministerio Da Infraestrutura";2128;2713
"321";"2005";"Ministerio Da Previdencia Social";1785;1063
"322";"2005";"Ministerio Da Saude";42786;64416
"323";"2005";"Ministerio Das Cidades";199;121
"324";"2005";"Ministerio Das Comunicacoes";239;289
"325";"2005";"Ministerio Das Relacoes Exteriores";2303;1014
"326";"2005";"Ministerio De Minas E Energia";1502;1004
"327";"2005";"Ministerio Do Desenvolvimento Agrario";144;142
"328";"2005";"Ministerio Do Desenvolvimento Regional";1249;1669
"329";"2005";"Ministerio Do Esporte";100;129
"330";"2005";"Ministerio Do Meio Ambiente";4307;3759
"331";"2005";"Ministerio Do Planej. Desenv. E Gestao";2601;2096
"332";"2005";"Ministerio Do Trabalho E Emprego";4442;2596
"333";"2005";"Ministerio Do Turismo";1385;1113
"334";"2005";"Ministerio Ind. Com. Exterior E Serviços";443;242
"335";"2005";"Presidencia Da Republica";11499;4658
"336";"2006";"Conselho Nac.De Desen.Cien.E Tecnologico";570;203
"337";"2006";"Instituto Fed. Do Norte De Minas Gerais";165;124
"338";"2006";"Instituto Fed.Do Sudeste De Minas Gerais";237;118
"339";"2006";"Instituto Federal Baiano";185;138
"340";"2006";"Instituto Federal Catarinense";215;99
"341";"2006";"Instituto Federal Da Paraiba";587;164
"342";"2006";"Instituto Federal De Alagoas";547;165
"343";"2006";"Instituto Federal De Mato Grosso";493;147
"344";"2006";"Instituto Federal De Minas Gerais";414;247
"345";"2006";"Instituto Federal De Pernambuco";797;287
"346";"2006";"Instituto Federal De Rondonia";55;39
"347";"2006";"Instituto Federal De Sergipe";345;149
"348";"2006";"Instituto Federal Do Amazonas";484;143
"349";"2006";"Instituto Federal Do Ceara";713;217
"350";"2006";"Instituto Federal Do Espirito Santo";936;307
"351";"2006";"Instituto Federal Do Maranhao";529;209
"352";"2006";"Instituto Federal Do Para";490;189
"353";"2006";"Instituto Federal Do Rio Grande Do Sul";137;95
"354";"2006";"Instituto Federal Do Sul De Minas Gerais";257;126
"355";"2006";"Instituto Federal Do Tocantins";197;97
"356";"2006";"Instituto Federal Do Triangulo Mineiro";186;95
"357";"2006";"Instituto Federal Farroupilha";131;86
"358";"2006";"Instituto Federal Fluminense";552;169
"359";"2006";"Instituto Federal Goiano";286;162
"360";"2006";"Minist. Da Justica E Seguranca Publica";14949;12948
"361";"2006";"Minist.Da Agricultura,Pecuaria E Abast.";8021;9961
"362";"2006";"Ministerio Ciencia Tec.Inov.Comunicacoes";3217;1024
"363";"2006";"Ministerio Da Cidadania";375;189
"364";"2006";"Ministerio Da Cultura";281;250
"365";"2006";"Ministerio Da Defesa";9782;18489
"366";"2006";"Ministerio Da Economia";57268;47009
"367";"2006";"Ministerio Da Educacao";109133;59270
"368";"2006";"Ministerio Da Infraestrutura";2866;3047
"369";"2006";"Ministerio Da Previdencia Social";1845;1081
"370";"2006";"Ministerio Da Saude";45402;64493
"371";"2006";"Ministerio Das Cidades";302;132
"372";"2006";"Ministerio Das Comunicacoes";301;317
"373";"2006";"Ministerio Das Relacoes Exteriores";2349;994
"374";"2006";"Ministerio De Minas E Energia";1758;1066
"375";"2006";"Ministerio Do Desenvolvimento Agrario";150;154
"376";"2006";"Ministerio Do Desenvolvimento Regional";1301;1658
"377";"2006";"Ministerio Do Esporte";100;125
"378";"2006";"Ministerio Do Meio Ambiente";4274;4193
"379";"2006";"Ministerio Do Planej. Desenv. E Gestao";2909;2051
"380";"2006";"Ministerio Do Trabalho E Emprego";4373;2517
"381";"2006";"Ministerio Do Turismo";1810;1122
"382";"2006";"Ministerio Ind. Com. Exterior E Serviços";509;257
"383";"2006";"Presidencia Da Republica";12459;4750
"384";"2007";"Conselho Nac.De Desen.Cien.E Tecnologico";533;198
"385";"2007";"Instituto Fed. Do Norte De Minas Gerais";199;127
"386";"2007";"Instituto Fed.Do Sudeste De Minas Gerais";270;118
"387";"2007";"Instituto Federal Baiano";206;136
"388";"2007";"Instituto Federal Catarinense";218;102
"389";"2007";"Instituto Federal Da Paraiba";626;173
"390";"2007";"Instituto Federal De Alagoas";541;157
"391";"2007";"Instituto Federal De Mato Grosso";494;153
"392";"2007";"Instituto Federal De Minas Gerais";497;248
"393";"2007";"Instituto Federal De Pernambuco";836;283
"394";"2007";"Instituto Federal De Rondonia";69;34
"395";"2007";"Instituto Federal De Sergipe";354;151
"396";"2007";"Instituto Federal Do Amazonas";543;148
