"";"ano";"orgao_superior";"servidores_superior";"servidores_naosup"
"397";"2007";"Instituto Federal Do Ceara";742;214
"398";"2007";"Instituto Federal Do Espirito Santo";1005;312
"399";"2007";"Instituto Federal Do Maranhao";601;218
"400";"2007";"Instituto Federal Do Para";490;180
"401";"2007";"Instituto Federal Do Rio Grande Do Sul";148;94
"402";"2007";"Instituto Federal Do Sul De Minas Gerais";258;129
"403";"2007";"Instituto Federal Do Tocantins";257;106
"404";"2007";"Instituto Federal Do Triangulo Mineiro";194;90
"405";"2007";"Instituto Federal Farroupilha";137;83
"406";"2007";"Instituto Federal Fluminense";600;185
"407";"2007";"Instituto Federal Goiano";322;172
"408";"2007";"Minist. Da Justica E Seguranca Publica";15921;12387
"409";"2007";"Minist.Da Agricultura,Pecuaria E Abast.";8413;9737
"410";"2007";"Ministerio Ciencia Tec.Inov.Comunicacoes";3320;934
"411";"2007";"Ministerio Da Cidadania";434;205
"412";"2007";"Ministerio Da Cultura";292;255
"413";"2007";"Ministerio Da Defesa";9356;17538
"414";"2007";"Ministerio Da Economia";58123;45773
"415";"2007";"Ministerio Da Educacao";111309;57864
"416";"2007";"Ministerio Da Infraestrutura";3393;3203
"417";"2007";"Ministerio Da Previdencia Social";797;616
"418";"2007";"Ministerio Da Saude";44533;62504
"419";"2007";"Ministerio Das Cidades";288;136
"420";"2007";"Ministerio Das Comunicacoes";297;310
"421";"2007";"Ministerio Das Relacoes Exteriores";2479;965
"422";"2007";"Ministerio De Minas E Energia";1733;1065
"423";"2007";"Ministerio Do Desenvolvimento Agrario";154;153
"424";"2007";"Ministerio Do Desenvolvimento Regional";1356;1668
"425";"2007";"Ministerio Do Esporte";125;118
"426";"2007";"Ministerio Do Meio Ambiente";4501;4038
"427";"2007";"Ministerio Do Planej. Desenv. E Gestao";2999;2012
"428";"2007";"Ministerio Do Trabalho E Emprego";4671;2435
"429";"2007";"Ministerio Do Turismo";1853;1081
"430";"2007";"Ministerio Ind. Com. Exterior E Serviços";490;244
"431";"2007";"Presidencia Da Republica";13207;4997
"432";"2008";"Conselho Nac.De Desen.Cien.E Tecnologico";524;184
"433";"2008";"Instituto Fed. Do Norte De Minas Gerais";191;133
"434";"2008";"Instituto Fed.Do Sudeste De Minas Gerais";267;127
"435";"2008";"Instituto Federal Baiano";224;135
"436";"2008";"Instituto Federal Catarinense";236;103
"437";"2008";"Instituto Federal Da Paraiba";673;173
"438";"2008";"Instituto Federal De Alagoas";563;159
"439";"2008";"Instituto Federal De Mato Grosso";615;180
"440";"2008";"Instituto Federal De Minas Gerais";537;256
"441";"2008";"Instituto Federal De Pernambuco";879;287
"442";"2008";"Instituto Federal De Rondonia";64;33
"443";"2008";"Instituto Federal De Sergipe";386;154
"444";"2008";"Instituto Federal Do Amazonas";590;135
"445";"2008";"Instituto Federal Do Ceara";775;229
"446";"2008";"Instituto Federal Do Espirito Santo";1126;369
"447";"2008";"Instituto Federal Do Maranhao";724;252
"448";"2008";"Instituto Federal Do Para";600;184
"449";"2008";"Instituto Federal Do Rio Grande Do Sul";254;110
"450";"2008";"Instituto Federal Do Sul De Minas Gerais";283;124
"451";"2008";"Instituto Federal Do Tocantins";312;113
"452";"2008";"Instituto Federal Do Triangulo Mineiro";225;94
"453";"2008";"Instituto Federal Farroupilha";200;104
"454";"2008";"Instituto Federal Fluminense";673;206
"455";"2008";"Instituto Federal Goiano";373;184
"456";"2008";"Minist. Da Justica E Seguranca Publica";16759;11839
"457";"2008";"Minist.Da Agricultura,Pecuaria E Abast.";8785;9567
"458";"2008";"Ministerio Ciencia Tec.Inov.Comunicacoes";3244;902
"459";"2008";"Ministerio Da Cidadania";466;211
"460";"2008";"Ministerio Da Cultura";299;243
"461";"2008";"Ministerio Da Defesa";9260;16991
"462";"2008";"Ministerio Da Economia";58777;45868
"463";"2008";"Ministerio Da Educacao";118517;56950
"464";"2008";"Ministerio Da Infraestrutura";3723;3054
"465";"2008";"Ministerio Da Previdencia Social";829;604
"466";"2008";"Ministerio Da Saude";44221;62176
"467";"2008";"Ministerio Das Cidades";347;124
"468";"2008";"Ministerio Das Comunicacoes";299;311
"469";"2008";"Ministerio Das Relacoes Exteriores";2585;986
"470";"2008";"Ministerio De Minas E Energia";2029;1081
"471";"2008";"Ministerio Do Desenvolvimento Agrario";168;138
"472";"2008";"Ministerio Do Desenvolvimento Regional";1421;1646
"473";"2008";"Ministerio Do Esporte";130;117
"474";"2008";"Ministerio Do Meio Ambiente";4554;4972
"475";"2008";"Ministerio Do Planej. Desenv. E Gestao";3032;1972
"476";"2008";"Ministerio Do Trabalho E Emprego";4637;2308
"477";"2008";"Ministerio Do Turismo";1871;1056
"478";"2008";"Ministerio Ind. Com. Exterior E Serviços";439;218
"479";"2008";"Presidencia Da Republica";14682;5511
"480";"2009";"Conselho Nac.De Desen.Cien.E Tecnologico";523;173
"481";"2009";"Instituto Fed. Do Norte De Minas Gerais";283;143
"482";"2009";"Instituto Fed.Do Sudeste De Minas Gerais";332;144
"483";"2009";"Instituto Federal Baiano";296;148
"484";"2009";"Instituto Federal Catarinense";262;111
"485";"2009";"Instituto Federal Da Paraiba";804;153
"486";"2009";"Instituto Federal De Alagoas";647;160
"487";"2009";"Instituto Federal De Mato Grosso";663;183
"488";"2009";"Instituto Federal De Minas Gerais";608;269
"489";"2009";"Instituto Federal De Pernambuco";925;295
"490";"2009";"Instituto Federal De Rondonia";88;31
"491";"2009";"Instituto Federal De Sergipe";459;158
"492";"2009";"Instituto Federal Do Amazonas";699;163
"493";"2009";"Instituto Federal Do Ceara";1040;233
"494";"2009";"Instituto Federal Do Espirito Santo";1316;365
"495";"2009";"Instituto Federal Do Maranhao";820;281
"496";"2009";"Instituto Federal Do Para";776;215
"497";"2009";"Instituto Federal Do Rio Grande Do Sul";312;115
"498";"2009";"Instituto Federal Do Sul De Minas Gerais";365;121
"499";"2009";"Instituto Federal Do Tocantins";455;114
"500";"2009";"Instituto Federal Do Triangulo Mineiro";277;104
"501";"2009";"Instituto Federal Farroupilha";345;117
"502";"2009";"Instituto Federal Fluminense";801;176
"503";"2009";"Instituto Federal Goiano";450;196
"504";"2009";"Minist. Da Justica E Seguranca Publica";17948;11595
"505";"2009";"Minist.Da Agricultura,Pecuaria E Abast.";8995;9774
"506";"2009";"Ministerio Ciencia Tec.Inov.Comunicacoes";3250;957
"507";"2009";"Ministerio Da Cidadania";524;196
"508";"2009";"Ministerio Da Cultura";366;302
"509";"2009";"Ministerio Da Defesa";9704;16935
"510";"2009";"Ministerio Da Economia";59702;44821
"511";"2009";"Ministerio Da Educacao";128267;55646
"512";"2009";"Ministerio Da Infraestrutura";4019;3472
"513";"2009";"Ministerio Da Previdencia Social";820;592
"514";"2009";"Ministerio Da Saude";43964;62304
"515";"2009";"Ministerio Das Cidades";496;139
"516";"2009";"Ministerio Das Comunicacoes";356;304
"517";"2009";"Ministerio Das Relacoes Exteriores";2766;962
"518";"2009";"Ministerio De Minas E Energia";2154;1263
"519";"2009";"Ministerio Do Desenvolvimento Agrario";303;162
"520";"2009";"Ministerio Do Desenvolvimento Regional";1479;1614
"521";"2009";"Ministerio Do Esporte";199;119
"522";"2009";"Ministerio Do Meio Ambiente";5088;4417
"523";"2009";"Ministerio Do Planej. Desenv. E Gestao";3322;1980
"524";"2009";"Ministerio Do Trabalho E Emprego";5401;3291
"525";"2009";"Ministerio Do Turismo";2049;1030
"526";"2009";"Ministerio Ind. Com. Exterior E Serviços";466;205
"527";"2009";"Presidencia Da Republica";15090;5742
"528";"2010";"Conselho Nac.De Desen.Cien.E Tecnologico";498;154
"529";"2010";"Minist. Da Justica E Seguranca Publica";19718;11484
"530";"2010";"Minist.Da Agricultura,Pecuaria E Abast.";8671;9440
"531";"2010";"Ministerio Ciencia Tec.Inov.Comunicacoes";3294;950
"532";"2010";"Ministerio Da Cidadania";625;223
"533";"2010";"Ministerio Da Cultura";473;379
"534";"2010";"Ministerio Da Defesa";9591;16193
"535";"2010";"Ministerio Da Economia";61067;42613
"536";"2010";"Ministerio Da Educacao";158221;59954
"537";"2010";"Ministerio Da Infraestrutura";4457;3753
"538";"2010";"Ministerio Da Previdencia Social";762;679
"539";"2010";"Ministerio Da Saude";43687;59788
"540";"2010";"Ministerio Das Cidades";442;128
"541";"2010";"Ministerio Das Comunicacoes";470;329
"542";"2010";"Ministerio Das Relacoes Exteriores";2856;940
"543";"2010";"Ministerio De Minas E Energia";2391;1312
"544";"2010";"Ministerio De Pesca E Aquicultura";372;224
"545";"2010";"Ministerio Do Desenvolvimento Agrario";314;174
"546";"2010";"Ministerio Do Desenvolvimento Regional";1691;1657
"547";"2010";"Ministerio Do Esporte";206;125
"548";"2010";"Ministerio Do Meio Ambiente";5040;4661
"549";"2010";"Ministerio Do Planej. Desenv. E Gestao";4012;2041
"550";"2010";"Ministerio Do Trabalho E Emprego";5516;3257
"551";"2010";"Ministerio Do Turismo";2313;1039
"552";"2010";"Ministerio Ind. Com. Exterior E Serviços";585;288
"553";"2010";"Presidencia Da Republica";15271;6024
"554";"2011";"Conselho Nac.De Desen.Cien.E Tecnologico";548;156
"555";"2011";"Minist. Da Justica E Seguranca Publica";20173;11261
"556";"2011";"Minist.Da Agricultura,Pecuaria E Abast.";8526;9077
"557";"2011";"Ministerio Ciencia Tec.Inov.Comunicacoes";3252;899
"558";"2011";"Ministerio Da Cidadania";603;222
"559";"2011";"Ministerio Da Cultura";479;376
"560";"2011";"Ministerio Da Defesa";9398;15132
"561";"2011";"Ministerio Da Economia";59748;41032
"562";"2011";"Ministerio Da Educacao";172944;58522
"563";"2011";"Ministerio Da Infraestrutura";4491;3676
"564";"2011";"Ministerio Da Previdencia Social";811;668
"565";"2011";"Ministerio Da Saude";43259;57253
"566";"2011";"Ministerio Das Cidades";424;118
"567";"2011";"Ministerio Das Comunicacoes";497;497
"568";"2011";"Ministerio Das Relacoes Exteriores";2842;902
"569";"2011";"Ministerio De Minas E Energia";2536;1728
"570";"2011";"Ministerio De Pesca E Aquicultura";357;229
"571";"2011";"Ministerio Do Desenvolvimento Agrario";298;155
"572";"2011";"Ministerio Do Desenvolvimento Regional";1675;1603
"573";"2011";"Ministerio Do Esporte";203;122
"574";"2011";"Ministerio Do Meio Ambiente";4883;4212
"575";"2011";"Ministerio Do Planej. Desenv. E Gestao";4197;1862
"576";"2011";"Ministerio Do Trabalho E Emprego";5549;3170
"577";"2011";"Ministerio Do Turismo";2310;1041
"578";"2011";"Ministerio Ind. Com. Exterior E Serviços";557;283
"579";"2011";"Presidencia Da Republica";14649;5714
"580";"2012";"Conselho Nac.De Desen.Cien.E Tecnologico";552;155
"581";"2012";"Minist. Da Justica E Seguranca Publica";20998;10777
"582";"2012";"Minist.Da Agricultura,Pecuaria E Abast.";8598;8761
"583";"2012";"Ministerio Ciencia Tec.Inov.Comunicacoes";3163;871
"584";"2012";"Ministerio Da Cidadania";603;210
"585";"2012";"Ministerio Da Cultura";492;355
"586";"2012";"Ministerio Da Defesa";8998;14152
"587";"2012";"Ministerio Da Economia";57734;42461
"588";"2012";"Ministerio Da Educacao";185272;57041
"589";"2012";"Ministerio Da Infraestrutura";4328;3619
"590";"2012";"Ministerio Da Previdencia Social";822;637
"591";"2012";"Ministerio Da Saude";43140;55188
"592";"2012";"Ministerio Das Cidades";309;103
"593";"2012";"Ministerio Das Comunicacoes";473;515
"594";"2012";"Ministerio Das Relacoes Exteriores";2831;869
"595";"2012";"Ministerio De Minas E Energia";2449;1858
"596";"2012";"Ministerio De Pesca E Aquicultura";366;227
"597";"2012";"Ministerio Do Desenvolvimento Agrario";313;158
"598";"2012";"Ministerio Do Desenvolvimento Regional";1614;1548
"599";"2012";"Ministerio Do Esporte";268;121
"600";"2012";"Ministerio Do Meio Ambiente";4805;3771
"601";"2012";"Ministerio Do Planej. Desenv. E Gestao";4733;1785
"602";"2012";"Ministerio Do Trabalho E Emprego";5403;3017
"603";"2012";"Ministerio Do Turismo";2305;1006
"604";"2012";"Ministerio Ind. Com. Exterior E Serviços";523;253
"605";"2012";"Presidencia Da Republica";14742;5551
"606";"2013";"Conselho Nac.De Desen.Cien.E Tecnologico";532;121
"607";"2013";"Minist. Da Justica E Seguranca Publica";22225;10089
"608";"2013";"Minist.Da Agricultura,Pecuaria E Abast.";8436;8417
"609";"2013";"Ministerio Ciencia Tec.Inov.Comunicacoes";3090;847
"610";"2013";"Ministerio Da Cidadania";830;195
"611";"2013";"Ministerio Da Cultura";634;353
"612";"2013";"Ministerio Da Defesa";8759;13156
"613";"2013";"Ministerio Da Economia";60688;40313
"614";"2013";"Ministerio Da Educacao";200277;53417
"615";"2013";"Ministerio Da Infraestrutura";4839;3816
"616";"2013";"Ministerio Da Previdencia Social";741;598
"617";"2013";"Ministerio Da Saude";45193;52957
"618";"2013";"Ministerio Das Cidades";292;96
"619";"2013";"Ministerio Das Comunicacoes";525;516
"620";"2013";"Ministerio Das Relacoes Exteriores";2785;832
"621";"2013";"Ministerio De Minas E Energia";2548;1830
"622";"2013";"Ministerio De Pesca E Aquicultura";362;206
"623";"2013";"Ministerio Do Desenvolvimento Agrario";361;162
"624";"2013";"Ministerio Do Desenvolvimento Regional";1712;1488
"625";"2013";"Ministerio Do Esporte";314;124
"626";"2013";"Ministerio Do Meio Ambiente";4930;3698
"627";"2013";"Ministerio Do Planej. Desenv. E Gestao";4682;1677
"628";"2013";"Ministerio Do Trabalho E Emprego";5239;2882
"629";"2013";"Ministerio Do Turismo";2306;999
"630";"2013";"Ministerio Ind. Com. Exterior E Serviços";601;209
"631";"2013";"Presidencia Da Republica";15203;5593
"632";"2014";"Conselho Nac.De Desen.Cien.E Tecnologico";496;103
"633";"2014";"Minist. Da Justica E Seguranca Publica";23479;9861
"634";"2014";"Minist.Da Agricultura,Pecuaria E Abast.";8610;8255
"635";"2014";"Ministerio Ciencia Tec.Inov.Comunicacoes";2778;1026
"636";"2014";"Ministerio Da Cidadania";794;170
"637";"2014";"Ministerio Da Cultura";654;373
"638";"2014";"Ministerio Da Defesa";8111;13266
"639";"2014";"Ministerio Da Economia";61104;39228
"640";"2014";"Ministerio Da Educacao";220707;51961
"641";"2014";"Ministerio Da Infraestrutura";4830;3658
"642";"2014";"Ministerio Da Previdencia Social";730;566
"643";"2014";"Ministerio Da Saude";48989;51674
"644";"2014";"Ministerio Das Cidades";344;135
"645";"2014";"Ministerio Das Comunicacoes";512;505
"646";"2014";"Ministerio Das Relacoes Exteriores";2770;799
"647";"2014";"Ministerio De Minas E Energia";2575;1795
"648";"2014";"Ministerio De Pesca E Aquicultura";345;191
"649";"2014";"Ministerio Do Desenvolvimento Agrario";442;182
"650";"2014";"Ministerio Do Desenvolvimento Regional";1776;1458
"651";"2014";"Ministerio Do Esporte";342;141
"652";"2014";"Ministerio Do Meio Ambiente";4975;3835
"653";"2014";"Ministerio Do Planej. Desenv. E Gestao";4667;1588
"654";"2014";"Ministerio Do Trabalho E Emprego";5260;2942
"655";"2014";"Ministerio Do Turismo";2493;946
"656";"2014";"Ministerio Ind. Com. Exterior E Serviços";695;201
"657";"2014";"Presidencia Da Republica";15145;5613
"658";"2015";"Conselho Nac.De Desen.Cien.E Tecnologico";473;95
"659";"2015";"Minist. Da Justica E Seguranca Publica";23416;9199
"660";"2015";"Minist.Da Agricultura,Pecuaria E Abast.";8412;7829
"661";"2015";"Ministerio Ciencia Tec.Inov.Comunicacoes";2772;1059
"662";"2015";"Ministerio Da Cidadania";782;162
"663";"2015";"Ministerio Da Cultura";641;338
"664";"2015";"Ministerio Da Defesa";8145;12528
"665";"2015";"Ministerio Da Economia";59795;37774
"666";"2015";"Ministerio Da Educacao";238501;42851
"667";"2015";"Ministerio Da Infraestrutura";4847;3562
"668";"2015";"Ministerio Da Previdencia Social";757;533
"669";"2015";"Ministerio Da Saude";51751;49710
"670";"2015";"Ministerio Das Cidades";344;131
"671";"2015";"Ministerio Das Comunicacoes";503;485
"672";"2015";"Ministerio Das Relacoes Exteriores";2707;752
"673";"2015";"Ministerio De Minas E Energia";2565;1786
"674";"2015";"Ministerio De Pesca E Aquicultura";254;122
"675";"2015";"Ministerio Do Desenvolvimento Agrario";467;157
"676";"2015";"Ministerio Do Desenvolvimento Regional";1726;1384
"677";"2015";"Ministerio Do Esporte";335;132
"678";"2015";"Ministerio Do Meio Ambiente";4803;3717
"679";"2015";"Ministerio Do Planej. Desenv. E Gestao";4577;1793
"680";"2015";"Ministerio Do Trabalho E Emprego";5002;2810
"681";"2015";"Ministerio Do Turismo";2524;907
"682";"2015";"Ministerio Ind. Com. Exterior E Serviços";676;181
"683";"2015";"Presidencia Da Republica";15156;5499
"684";"2016";"Conselho Nac.De Desen.Cien.E Tecnologico";446;80
"685";"2016";"Minist. Da Justica E Seguranca Publica";24351;8856
"686";"2016";"Minist.Da Agricultura,Pecuaria E Abast.";8286;7572
"687";"2016";"Ministerio Ciencia Tec.Inov.Comunicacoes";2682;1034
"688";"2016";"Ministerio Da Cidadania";722;146
"689";"2016";"Ministerio Da Cultura";537;263
"690";"2016";"Ministerio Da Defesa";7600;12115
"691";"2016";"Ministerio Da Economia";58760;36986
"692";"2016";"Ministerio Da Educacao";252488;38750
"693";"2016";"Ministerio Da Infraestrutura";4779;3433
"694";"2016";"Ministerio Da Previdencia Social";727;516
"695";"2016";"Ministerio Da Saude";54767;48173
"696";"2016";"Ministerio Das Cidades";315;122
"697";"2016";"Ministerio Das Relacoes Exteriores";2697;718
"698";"2016";"Ministerio De Minas E Energia";2496;1747
"699";"2016";"Ministerio Do Desenvolvimento Agrario";365;109
"700";"2016";"Ministerio Do Desenvolvimento Regional";1683;1332
"701";"2016";"Ministerio Do Esporte";285;101
"702";"2016";"Ministerio Do Meio Ambiente";4854;2705
"703";"2016";"Ministerio Do Planej. Desenv. E Gestao";4782;1669
"704";"2016";"Ministerio Do Trabalho E Emprego";4925;2695
"705";"2016";"Ministerio Do Turismo";2455;849
"706";"2016";"Ministerio Ind. Com. Exterior E Serviços";654;159
"707";"2016";"Presidencia Da Republica";15170;5529
"708";"2017";"Conselho Nac.De Desen.Cien.E Tecnologico";403;69
"709";"2017";"Controladoria-Geral Da Uniao";2084;267
"710";"2017";"Min. Da Mulher, Familia E Dir. Humanos";177;56
"711";"2017";"Minist. Da Justica E Seguranca Publica";23767;8316
"712";"2017";"Minist.Da Agricultura,Pecuaria E Abast.";7727;7117
"713";"2017";"Ministerio Ciencia Tec.Inov.Comunicacoes";2555;965
"714";"2017";"Ministerio Da Cidadania";1040;302
"715";"2017";"Ministerio Da Cultura";552;250
"716";"2017";"Ministerio Da Defesa";7295;11349
"717";"2017";"Ministerio Da Economia";58886;37417
"718";"2017";"Ministerio Da Educacao";261824;35247
"719";"2017";"Ministerio Da Infraestrutura";4961;3424
"720";"2017";"Ministerio Da Saude";57971;45796
"721";"2017";"Ministerio Das Cidades";301;108
"722";"2017";"Ministerio Das Relacoes Exteriores";2696;663
"723";"2017";"Ministerio De Minas E Energia";2489;1690
"724";"2017";"Ministerio Do Desenvolvimento Regional";1625;1257
"725";"2017";"Ministerio Do Esporte";183;75
"726";"2017";"Ministerio Do Meio Ambiente";4816;2219
"727";"2017";"Ministerio Do Planej. Desenv. E Gestao";4805;1556
"728";"2017";"Ministerio Do Trabalho E Emprego";4693;2584
"729";"2017";"Ministerio Do Turismo";2415;824
"730";"2017";"Ministerio Ind. Com. Exterior E Serviços";842;215
"731";"2017";"Presidencia Da Republica";13314;4970
"732";"2018";"Conselho Nac.De Desen.Cien.E Tecnologico";377;62
"733";"2018";"Controladoria-Geral Da Uniao";2061;240
"734";"2018";"Min. Da Mulher, Familia E Dir. Humanos";306;102
"735";"2018";"Minist. Da Justica E Seguranca Publica";23692;7839
"736";"2018";"Minist.Da Agricultura,Pecuaria E Abast.";7914;6564
"737";"2018";"Ministerio Ciencia Tec.Inov.Comunicacoes";2512;923
"738";"2018";"Ministerio Da Cidadania";1063;290
"739";"2018";"Ministerio Da Cultura";524;231
"740";"2018";"Ministerio Da Defesa";7203;10538
"741";"2018";"Ministerio Da Economia";57343;36229
"742";"2018";"Ministerio Da Educacao";269125;31732
"743";"2018";"Ministerio Da Infraestrutura";4885;3338
"744";"2018";"Ministerio Da Saude";58374;43337
"745";"2018";"Ministerio Das Cidades";305;99
"746";"2018";"Ministerio Das Relacoes Exteriores";2685;635
"747";"2018";"Ministerio De Minas E Energia";2418;1641
"748";"2018";"Ministerio Do Desenvolvimento Regional";1557;1179
"749";"2018";"Ministerio Do Esporte";186;64
"750";"2018";"Ministerio Do Meio Ambiente";4698;2403
"751";"2018";"Ministerio Do Planej. Desenv. E Gestao";4741;1488
"752";"2018";"Ministerio Do Trabalho E Emprego";4521;2418
"753";"2018";"Ministerio Do Turismo";2337;767
"754";"2018";"Ministerio Ind. Com. Exterior E Serviços";677;152
"755";"2018";"Presidencia Da Republica";13896;5018
"756";"2019";"Conselho Nac.De Desen.Cien.E Tecnologico";335;56
"757";"2019";"Controladoria-Geral Da Uniao";2037;217
"758";"2019";"Min. Da Mulher, Familia E Dir. Humanos";378;81
"759";"2019";"Minist. Da Justica E Seguranca Publica";23802;7355
"760";"2019";"Minist.Da Agricultura,Pecuaria E Abast.";7801;5105
"761";"2019";"Ministerio Ciencia Tec.Inov.Comunicacoes";2408;848
"762";"2019";"Ministerio Da Cidadania";1256;391
"763";"2019";"Ministerio Da Defesa";6536;9207
"764";"2019";"Ministerio Da Economia";61491;35017
"765";"2019";"Ministerio Da Educacao";272632;27411
"766";"2019";"Ministerio Da Infraestrutura";4615;2888
"767";"2019";"Ministerio Da Saude";62266;36770
"768";"2019";"Ministerio Das Relacoes Exteriores";2620;553
"769";"2019";"Ministerio De Minas E Energia";2425;1525
"770";"2019";"Ministerio Do Desenvolvimento Regional";1707;1018
"771";"2019";"Ministerio Do Meio Ambiente";4258;2010
"772";"2019";"Ministerio Do Turismo";2390;698
"773";"2019";"Presidencia Da Republica";13183;4543
"774";"2020";"Conselho Nac.De Desen.Cien.E Tecnologico";325;52
"775";"2020";"Controladoria-Geral Da Uniao";2017;216
"776";"2020";"Min. Da Mulher, Familia E Dir. Humanos";392;73
"777";"2020";"Minist. Da Justica E Seguranca Publica";25985;6452
"778";"2020";"Minist.Da Agricultura,Pecuaria E Abast.";7589;4561
"779";"2020";"Ministerio Ciencia Tec.Inov.Comunicacoes";2370;815
"780";"2020";"Ministerio Da Cidadania";818;191
"781";"2020";"Ministerio Da Defesa";6352;8403
"782";"2020";"Ministerio Da Economia";61838;34479
"783";"2020";"Ministerio Da Educacao";269796;24823
"784";"2020";"Ministerio Da Infraestrutura";4585;2787
"785";"2020";"Ministerio Da Saude";63639;33281
"786";"2020";"Ministerio Das Relacoes Exteriores";2644;530
"787";"2020";"Ministerio De Minas E Energia";2403;1461
"788";"2020";"Ministerio Do Desenvolvimento Regional";1736;950
"789";"2020";"Ministerio Do Meio Ambiente";4240;2936
"790";"2020";"Ministerio Do Turismo";2703;864
"791";"2020";"Presidencia Da Republica";13148;4398
