,Entity-value,Entity-alias,SUM(Pivot Field Values)-alias,YEAR(Date)-value,YEAR(Date)-alias
0,SBI,SBI,%null%,2060-01-01 00:00:00,2060
1,SBSTA,SBSTA,9,2019-01-01 00:00:00,2019
2,SBI,SBI,30,2019-01-01 00:00:00,2019
3,COP,COP,2,2019-01-01 00:00:00,2019
4,CMP,CMP,2,2019-01-01 00:00:00,2019
5,CMA,CMA,2,2019-01-01 00:00:00,2019
6,SBSTA,SBSTA,7,2018-01-01 00:00:00,2018
7,SBI,SBI,18,2018-01-01 00:00:00,2018
8,COP,COP,3,2018-01-01 00:00:00,2018
9,CMP,CMP,2,2018-01-01 00:00:00,2018
10,CMA,CMA,%null%,2018-01-01 00:00:00,2018
11,APA,APA,3,2018-01-01 00:00:00,2018
12,SBSTA,SBSTA,11,2017-01-01 00:00:00,2017
13,SBI,SBI,20,2017-01-01 00:00:00,2017
14,COP,COP,3,2017-01-01 00:00:00,2017
15,CMP,CMP,2,2017-01-01 00:00:00,2017
16,CMA,CMA,%null%,2017-01-01 00:00:00,2017
17,APA,APA,2,2017-01-01 00:00:00,2017
18,SBSTA,SBSTA,10,2016-01-01 00:00:00,2016
19,SBI,SBI,19,2016-01-01 00:00:00,2016
20,COP,COP,3,2016-01-01 00:00:00,2016
21,CMP,CMP,3,2016-01-01 00:00:00,2016
22,CMA,CMA,%null%,2016-01-01 00:00:00,2016
23,APA,APA,2,2016-01-01 00:00:00,2016
24,SBSTA,SBSTA,10,2015-01-01 00:00:00,2015
25,SBI,SBI,15,2015-01-01 00:00:00,2015
26,COP,COP,2,2015-01-01 00:00:00,2015
27,CMP,CMP,2,2015-01-01 00:00:00,2015
28,ADP,ADP,%null%,2015-01-01 00:00:00,2015
29,SBSTA,SBSTA,10,2014-01-01 00:00:00,2014
30,SBI,SBI,13,2014-01-01 00:00:00,2014
31,COP,COP,2,2014-01-01 00:00:00,2014
32,CMP,CMP,3,2014-01-01 00:00:00,2014
33,ADP,ADP,%null%,2014-01-01 00:00:00,2014
34,SBSTA,SBSTA,11,2013-01-01 00:00:00,2013
35,SBI,SBI,10,2013-01-01 00:00:00,2013
36,COP,COP,2,2013-01-01 00:00:00,2013
37,CMP,CMP,2,2013-01-01 00:00:00,2013
38,ADP,ADP,%null%,2013-01-01 00:00:00,2013
39,SBSTA,SBSTA,13,2012-01-01 00:00:00,2012
40,SBI,SBI,12,2012-01-01 00:00:00,2012
41,COP,COP,2,2012-01-01 00:00:00,2012
42,CMP,CMP,3,2012-01-01 00:00:00,2012
43,AWG-LCA,AWG-LCA,%null%,2012-01-01 00:00:00,2012
44,AWG-KP,AWG-KP,%null%,2012-01-01 00:00:00,2012
45,ADP,ADP,%null%,2012-01-01 00:00:00,2012
46,SBSTA,SBSTA,4,2011-01-01 00:00:00,2011
47,SBI,SBI,17,2011-01-01 00:00:00,2011
48,COP,COP,2,2011-01-01 00:00:00,2011
49,CMP,CMP,3,2011-01-01 00:00:00,2011
50,AWG-LCA,AWG-LCA,10,2011-01-01 00:00:00,2011
51,AWG-KP,AWG-KP,%null%,2011-01-01 00:00:00,2011
52,SBSTA,SBSTA,7,2010-01-01 00:00:00,2010
53,SBI,SBI,14,2010-01-01 00:00:00,2010
54,COP,COP,2,2010-01-01 00:00:00,2010
55,CMP,CMP,3,2010-01-01 00:00:00,2010
56,AWG-LCA,AWG-LCA,%null%,2010-01-01 00:00:00,2010
57,AWG-KP,AWG-KP,%null%,2010-01-01 00:00:00,2010
58,SBSTA,SBSTA,5,2009-01-01 00:00:00,2009
59,SBI,SBI,9,2009-01-01 00:00:00,2009
60,COP,COP,2,2009-01-01 00:00:00,2009
61,CMP,CMP,4,2009-01-01 00:00:00,2009
62,AWG-LCA,AWG-LCA,%null%,2009-01-01 00:00:00,2009
63,AWG-KP,AWG-KP,1,2009-01-01 00:00:00,2009
64,SBSTA,SBSTA,3,2008-01-01 00:00:00,2008
65,SBI,SBI,6,2008-01-01 00:00:00,2008
66,COP,COP,2,2008-01-01 00:00:00,2008
67,CMP,CMP,3,2008-01-01 00:00:00,2008
68,AWG-LCA,AWG-LCA,%null%,2008-01-01 00:00:00,2008
69,AWG-KP,AWG-KP,%null%,2008-01-01 00:00:00,2008
70,SBSTA,SBSTA,6,2007-01-01 00:00:00,2007
71,SBI,SBI,11,2007-01-01 00:00:00,2007
72,COP,COP,2,2007-01-01 00:00:00,2007
73,CMP,CMP,2,2007-01-01 00:00:00,2007
74,AWG-KP,AWG-KP,%null%,2007-01-01 00:00:00,2007
75,SBSTA,SBSTA,4,2006-01-01 00:00:00,2006
76,SBI,SBI,9,2006-01-01 00:00:00,2006
77,COP,COP,2,2006-01-01 00:00:00,2006
78,CMP,CMP,2,2006-01-01 00:00:00,2006
79,AWG-KP,AWG-KP,%null%,2006-01-01 00:00:00,2006
80,SBSTA,SBSTA,2,2005-01-01 00:00:00,2005
81,SBI,SBI,8,2005-01-01 00:00:00,2005
82,COP,COP,2,2005-01-01 00:00:00,2005
83,CMP,CMP,1,2005-01-01 00:00:00,2005
84,SBSTA,SBSTA,6,2004-01-01 00:00:00,2004
85,SBI,SBI,9,2004-01-01 00:00:00,2004
86,COP,COP,2,2004-01-01 00:00:00,2004
87,SBSTA,SBSTA,4,2003-01-01 00:00:00,2003
88,SBI,SBI,5,2003-01-01 00:00:00,2003
89,COP,COP,2,2003-01-01 00:00:00,2003
90,SBSTA,SBSTA,4,2002-01-01 00:00:00,2002
91,SBI,SBI,9,2002-01-01 00:00:00,2002
92,COP,COP,4,2002-01-01 00:00:00,2002
93,SBSTA,SBSTA,1,2001-01-01 00:00:00,2001
94,SBI,SBI,7,2001-01-01 00:00:00,2001
95,COP,COP,6,2001-01-01 00:00:00,2001
96,SBSTA,SBSTA,4,2000-01-01 00:00:00,2000
97,SBI,SBI,5,2000-01-01 00:00:00,2000
98,COP,COP,3,2000-01-01 00:00:00,2000
99,SBSTA,SBSTA,5,1999-01-01 00:00:00,1999
100,SBI,SBI,9,1999-01-01 00:00:00,1999
101,COP,COP,3,1999-01-01 00:00:00,1999
102,SBSTA,SBSTA,3,1998-01-01 00:00:00,1998
103,SBI,SBI,3,1998-01-01 00:00:00,1998
104,COP,COP,1,1998-01-01 00:00:00,1998
105,SBSTA,SBSTA,6,1997-01-01 00:00:00,1997
106,SBI,SBI,3,1997-01-01 00:00:00,1997
107,COP,COP,%null%,1997-01-01 00:00:00,1997
108,AGBM,AGBM,1,1997-01-01 00:00:00,1997
109,AG13,AG13,%null%,1997-01-01 00:00:00,1997
110,SBSTA,SBSTA,8,1996-01-01 00:00:00,1996
111,SBI,SBI,2,1996-01-01 00:00:00,1996
112,COP,COP,2,1996-01-01 00:00:00,1996
113,AGBM,AGBM,3,1996-01-01 00:00:00,1996
114,AG13,AG13,%null%,1996-01-01 00:00:00,1996
115,SBSTA,SBSTA,1,1995-01-01 00:00:00,1995
116,SBI,SBI,4,1995-01-01 00:00:00,1995
117,COP,COP,2,1995-01-01 00:00:00,1995
118,AGBM,AGBM,1,1995-01-01 00:00:00,1995
119,AG13,AG13,%null%,1995-01-01 00:00:00,1995
